sample_id,dx_mm,dy_mm,Lj_nH,Cj_fF,tee_finger_length_um,tee_finger_count,tee_cap_gap_um,ro_L_mm,fq_GHz,fr_GHz,Delta_GHz,g_over_2pi_MHz,chi_MHz,kappa_over_2pi_MHz,chi_over_kappa,Cin_fF,Ceff_fF,kappa_i_over_kappa_e,hit_chi_ge_2MHz,T1_qubit_est_us,T2_qubit_est_us,T1_qubit_dielectric_us,T1_qubit_purcell_us,status,error,warnings
chip_simple_dxm2p000_dym2p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-2.0,-2.0,12.0,2.0,160,12,1.2,8.5,4.66750846399,5.99576429238,-1.3282558283899997,244.5650742862331,6.200288068849563,5.692685446377873,1.0891675163247716,51.83498,76.95836730867178,5.176145672296322,True,0.806707726042818,1.613415452085636,37.047147182424204,0.8246649408288155,completed,"safe: StopIteration: StopIteration(); cpw: TypeError: TypeError('Arguments must be Polygon, FlexPath, RobustPath, Label or Reference.'); minimal: StopIteration: StopIteration()","Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.26e+03"
chip_simple_dxm2p000_dym2p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-2.0,-2.0,12.0,2.0,160,12,1.2,8.5,4.66750846399,5.99576429238,-1.3282558283899997,244.5650742862331,6.200288068849563,5.69268544637786,1.0891675163247743,51.83498,76.95836730867178,5.1761456722963075,True,0.8067077260428198,1.6134154520856396,37.047147182424204,0.8246649408288174,completed,,"Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.26e+03"
chip_simple_dxm2p000_dym2p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-2.0,-2.0,12.0,2.0,160,12,1.2,8.5,4.66357232032,6.17425760616,-1.5106852858400002,266.16679365567177,5.776347432731628,5.948772404826305,0.9710150329579281,51.83519,76.9582525862325,4.910219303693012,True,0.8423301376824586,1.6846602753649171,37.18598206083025,0.8618526683942456,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dxm10p000_dym10p000__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-10.0,-10.0,12.0,2.0,160,12,1.2,8.5,4.64946141178,6.18114822933,-1.5316868175499998,264.9235520746813,5.55338666771698,5.965679116322728,0.9308892683353229,52.20432,76.9819881227287,4.823973582697578,True,0.8709840807731362,1.7419681615462723,37.34516357868649,0.8917827191360257,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dxm10p000_dym9p091__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-10.0,-9.091,12.0,2.0,160,12,1.2,8.5,4.7754619206,6.09514600369,-1.3196840830900003,226.95614881826606,5.6564125673236845,5.83519743876857,0.9693609559366314,51.97676,76.948966494099,4.993281491236356,True,0.8993328842907908,1.7986657685815817,36.283641474225064,0.9221904635115664,completed,,"Qi recalculated from inferred p=0.00222: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dxm10p000_dym8p182__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-10.0,-8.182,12.0,2.0,160,12,1.2,8.5,4.70878498903,6.10283717632,-1.3940521872899998,237.26809301618,5.43583358929634,5.8968743535962265,0.9218160780348458,51.97755,76.94788064531264,5.033575943315536,True,0.9086418995563421,1.8172837991126842,36.709999524273705,0.9317033183517941,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dxm10p000_dym7p273__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-10.0,-7.273,12.0,2.0,160,12,1.2,8.5,4.73346264299,6.12196729623,-1.38850465324,243.08709551981178,5.803193593448639,5.917441531031344,0.9806930179227655,52.21703,76.98482686681935,4.943147313192465,True,0.8570123178777612,1.7140246357555224,36.671392477743005,0.8775200052847676,completed,,"Qi recalculated from inferred p=0.00223: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
chip_simple_dxm10p000_dym6p364__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-10.0,-6.364,12.0,2.0,160,12,1.2,8.5,4.72003215394,6.21311585123,-1.4930836972900003,248.5653481614014,5.277381808307648,5.993540423418498,0.8805115900590891,52.20304,76.98262424688507,4.761603437913233,True,0.9337286676251343,1.8674573352502686,36.665267562041016,0.958128658549714,completed,,"Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.25e+03"
chip_simple_dxm10p000_dym5p455__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-10.0,-5.455,12.0,2.0,160,12,1.2,8.5,4.74663028203,6.09244739086,-1.3458171088300004,229.06180088997965,5.497690521795272,5.833596212181217,0.9424187622577416,52.2005,76.98068438736837,4.948281929734325,True,0.9180606943491141,1.8361213886982282,36.44837603949954,0.9417822805585597,completed,,"Qi recalculated from inferred p=0.00221: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.26e+03"
chip_simple_dxm10p000_dym4p545__Lj12p0nH_Cj2p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-10.0,-4.545,12.0,2.0,160,12,1.2,8.5,4.72747685651,6.02391173404,-1.2964348775300003,235.80879165767422,6.181771411222457,5.79330242515557,1.067054843258326,51.98768,76.9507570011027,5.161258006436163,True,0.8119510549708923,1.6239021099417845,36.590921206817946,0.8303770888357689,completed,,"Qi recalculated from inferred p=0.00224: tan_delta=0.36 (assumed EPR tan_delta=0.0004), Qi=1.24e+03"
