sample_id,q1_x_mm,q1_y_mm,q2_x_mm,q2_y_mm,Lj1_nH,Cj1_fF,Lj2_nH,Cj2_fF,tee_finger_length_um,tee_finger_count,tee_cap_gap_um,ro_L_mm,fq1_GHz,fr1_GHz,Delta1_GHz,g1_over_2pi_MHz,chi1_MHz,kappa1_over_2pi_MHz,chi1_over_kappa1,Cin1_fF,Ceff1_fF,kappa1_i_over_kappa1_e,fq2_GHz,fr2_GHz,Delta2_GHz,g2_over_2pi_MHz,chi2_MHz,kappa2_over_2pi_MHz,chi2_over_kappa2,Cin2_fF,Ceff2_fF,kappa2_i_over_kappa2_e,chi12_MHz,hit_chi1_ge_2MHz,hit_chi2_ge_2MHz,T1_qubit1_est_us,T2_qubit1_est_us,T1_qubit2_est_us,T2_qubit2_est_us,status,error,warnings1,warnings2
chip_2q_q1x0p000_q1y0p000__q2x2p000_q2y2p000__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,0.0,0.0,2.0,2.0,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
chip_2q_q1xm1p500_q1y0p000__q2x1p500_q2y0p000__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-1.5,0.0,1.5,0.0,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
chip_2q_q1xm1p500_q1y0p000__q2x1p500_q2y0p000__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-1.5,0.0,1.5,0.0,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
chip_2q_q1xm1p500_q1y0p000__q2x1p500_q2y0p000__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-1.5,0.0,1.5,0.0,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
chip_2q_q1xm1p500_q1y0p000__q2x1p500_q2y0p000__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-1.5,0.0,1.5,0.0,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
chip_2q_q1xm1p500_q1y0p000__q2x1p500_q2y0p000__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,-1.5,0.0,1.5,0.0,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERROR,cannot convert float NaN to integer,,
chip_2q_q1x0p000_q1y1p500__q2x0p000_q2ym1p500__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,0.0,1.5,0.0,-1.5,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
chip_2q_q1x0p000_q1y1p500__q2x0p000_q2ym1p500__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,0.0,1.5,0.0,-1.5,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
chip_2q_q1x0p000_q1y1p500__q2x0p000_q2ym1p500__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,0.0,1.5,0.0,-1.5,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
chip_2q_q1x0p000_q1y1p500__q2x0p000_q2ym1p500__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,0.0,1.5,0.0,-1.5,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERROR,'gbk' codec can't encode character '\U0001f637' in position 59: illegal multibyte sequence,,
chip_2q_q1x0p000_q1y1p500__q2x0p000_q2ym1p500__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,0.0,1.5,0.0,-1.5,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,ERROR,'gbk' codec can't encode character '\U0001f637' in position 59: illegal multibyte sequence,,
chip_2q_q1x0p000_q1y1p500__q2x0p000_q2ym1p500__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,0.0,1.5,0.0,-1.5,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,397.08011,74.29085412255395,,,,,,,,,397.4677,74.35556984303379,,,False,False,,,,,completed,"Unable to allocate 12.6 GiB for an array with shape (842349405,) and data type complex128",,
chip_2q_q1x0p000_q1y1p500__q2x0p000_q2ym1p500__Lj112p0nH_Cj12p0fF__Lj212p0nH_Cj22p0fF__roL8p5mm__tee_fl160um_fc12_cg1p2um__rpg1p4um,0.0,1.5,0.0,-1.5,12.0,2.0,12.0,2.0,160,12,1.2,8.5,,,,,,,,,,,,,,,,,,,,,,False,False,,,,,completed,"(-2147352567, '发生意外。', (0, None, None, None, 0, -2147024382), None)",,
