method,query_idx,query_sample_id,query_fq_GHz,query_fr_GHz,query_chi_MHz,query_g_MHz,query_kappa_MHz,rank,retrieved_sample_id,retrieved_fq_GHz,retrieved_fr_GHz,retrieved_chi_MHz,retrieved_g_MHz,retrieved_kappa_MHz,distance_or_cost,error_fq,error_fr,error_chi,error_g,error_kappa
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,1,fig5_cg3p5um_rpg3p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.88834773081,6.55440012204,3.58235393236351,219.15970791952185,6.190036689460878,0.006709921388867883,0.01223705846999934,0.28199638224,0.9685340777263645,8.998134119460303,0.1519788332156189
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,2,fig5_cg3p0um_rpg4p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.940704631,6.42408762791,3.4702477960357663,191.51572092370972,6.040377137923779,0.009722322974402665,0.06459395865999973,0.15168388811,1.080640214054108,18.645852876351825,0.0023192816785204684
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,3,fig5_cg3p0um_rpg3p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.91022642408,6.30951729449,3.4180947746620176,181.0996536786009,5.916928558404827,0.010662966123609263,0.03411575173999992,0.03711355469000033,1.1327932354278567,29.061920121460645,0.12112929784043214
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,4,fig5_cg3p5um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.85348773769,6.38790903463,4.356288998512268,225.5893196577544,6.102737650921461,0.01310800718793282,0.022622934650000204,0.11550529483000016,0.19459901157760662,15.427745857692855,0.06467979467620211
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,5,fig5_cg4p0um_rpg2p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.84081846419,6.4170299131,4.2439929298172,228.91083087667948,6.164372524451142,0.01855803941087463,0.03529220815000045,0.14462617330000072,0.30689508027267465,18.749257076617937,0.12631466820588333
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,6,fig5_cg2p5um_rpg4p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.97746029131,6.34846078021,3.4394829423675537,176.0279190752371,5.892001031860305,0.0194090801926915,0.10134961896999961,0.07605704041000028,1.1114050677223206,34.13365472482445,0.14605682438495382
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,7,fig5_cg2p5um_rpg3p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.90933450729,6.40357690957,3.7329917837715145,201.2880257934344,6.003674917928219,0.02489171382712368,0.033223834949999365,0.13117316977000026,0.8178962263183598,8.873548006627146,0.03438293831703998
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,8,fig5_cg3p5um_rpg4p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.9416939411,6.51548606738,3.315546014060974,197.788389720846,6.147249764815354,0.026733978643609654,0.06558326875999931,0.2430823275800007,1.2353419960289003,12.373184079215548,0.10919190857009475
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,9,fig5_cg2p5um_rpg4p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.94106024347,6.27626260442,3.614401097434997,177.32648850399752,5.824223648241028,0.029408513327775474,0.06494957112999966,0.003858864620000624,0.9364869126548774,32.83508529606402,0.21383420800423103
Surrogate_Ridge,0,fig5_cg2p0um_rpg2p0um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.87611067234,6.2724037398,4.550888010089874,210.16157380006155,6.038057856245259,10,fig5_cg3p0um_rpg4p5um__Lj12p0nH_Cj0p0fF__roL8p5mm__tee_fl160um_fc12,4.9941849025,6.38138344841,3.337415566484451,174.770816054377,5.970627936686949,0.032475101554073654,0.11807423015999952,0.10897970861000061,1.2134724436054234,35.39075774568454,0.06742991955831013
